vendor,suite,doc,kind,verdict,reason,kb,why
azure-cu_full,micro1,hard__Municipal_continuing_disclosure_annual_financial_information_filing_-_efis,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,12840.5,timeout at the uniform 1800s limit; the vendor was still processing after 569 polls over 1805s
azure-cu_full,micro1,06_19_Government_zoning_and_land_use_geospatial_datasets,empty,KEEP,400 invalid request -- likely a real rejection,8870.4,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 712 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,06_20_Football_match_results_and_score_tables,empty,KEEP,400 invalid request -- likely a real rejection,4504.7,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 468 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,m1__Healthcare_facility_quality_measure_public_reporting,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,3402.1,timeout at the uniform 1800s limit; the vendor was still processing after 574 polls over 1807s
azure-cu_full,micro1,06_10_26_Mortality_statistics_and_preventable_mortality_report_d87435b,empty,KEEP,400 invalid request -- likely a real rejection,3218.9,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 406 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,Wastewater_discharge_monitoring_report___permit_compliance_summary,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,3103.8,timeout at the uniform 1800s limit; the vendor was still processing after 570 polls over 1803s
azure-cu_full,micro1,60a608a5__Medical_Examiner-Coroner_Santa Clara_Full_dataset_2018-2019-20260617T2,empty,KEEP,400 invalid request -- likely a real rejection,2890.6,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 358 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,06_10_26_Federal_Reserve_Z_1_Financial_Accounts_of_the_United_States_e,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,2455.5,timeout at the uniform 1800s limit; the vendor was still processing after 563 polls over 1806s
azure-cu_full,extractbench,long__real_oklahoma_unclaimed_2024,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,2435.1,timeout at the uniform 1800s limit; the vendor was still processing after 572 polls over 1808s
azure-cu_full,micro1,std__Regulatory_inspection_enforcement_activity_statistical_reports_-_catalog.da,empty,KEEP,400 invalid request -- likely a real rejection,2292.0,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 878 pages, which exceeds the maximum allowed page c"
azure-cu_full,extractbench,long__real_ofac_ssi_full,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,2286.6,timeout at the uniform 1800s limit; the vendor was still processing after 581 polls over 1804s
azure-cu_full,extractbench,long__real_imedia_full,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,2246.2,timeout at the uniform 1800s limit; the vendor was still processing after 571 polls over 1808s
